County,AEA Code,AEA Name,District Code,District Name,Class of 2022 4 Year Numerator,Class of 2022 4 Year Denominator,Class of 2022 4 Year Graduation Rate,Class of 2021 5 Year Numerator,Class of 2021 5 Year Denominator,Class of 2021 5 Year Graduation Rate,7-12 Dropouts,7-12 Enrollment,7-12 Dropout Rate,9-12 Dropouts,9-12 Enrollment,9-12 Dropout Rate
49,09,Mississippi Bend AEA,0243,Andrew Comm School District,,,,,,, 	-   , 	16 ,0.00,,,
77,11,Heartland AEA,0261,Ankeny Comm School District, 	806 , 	855 ,94.27, 	812 , 	838 ,96.90, 	34 ," 	5,594 ",0.61, 	34 ," 	3,648 ",0.93
12,07,Central Rivers AEA,0279,Aplington-Parkersburg Comm School District, 	54 , 	54 ,100.00, 	52 , 	55 ,94.55, 	1 , 	382 ,0.26, 	1 , 	252 ,0.40
32,05,Prairie Lakes AEA,0333,North Union Comm School District, 	48 , 	49 ,97.96, 	50 , 	50 ,100.00, 	-   , 	206 ,0.00, 	-   , 	206 ,0.00
24,12,Northwest AEA,0355,Ar-We-Va Comm School District, 	16 , 	16 ,100.00, 	17 , 	17 ,100.00, 	-   , 	91 ,0.00, 	-   , 	56 ,0.00
15,13,Green Hills AEA,0387,Atlantic Comm School District, 	81 , 	87 ,93.10, 	105 , 	112 ,93.75, 	12 , 	675 ,1.78, 	10 , 	448 ,2.23
05,11,Heartland AEA,0414,Audubon Comm School District, 	33 , 	34 ,97.06, 	34 , 	34 ,100.00, 	1 , 	223 ,0.45, 	1 , 	140 ,0.71
78,13,Green Hills AEA,0441,AHSTW Comm School District, 	46 , 	49 ,93.88, 	57 , 	57 ,100.00, 	8 , 	324 ,2.47, 	8 , 	214 ,3.74
85,11,Heartland AEA,0472,Ballard Comm School District, 	109 , 	115 ,94.78, 	134 , 	138 ,97.10, 	3 , 	801 ,0.37, 	3 , 	515 ,0.58
50,11,Heartland AEA,0513,Baxter Comm School District, 	25 , 	25 ,100.00, 	25 , 	26 ,96.15, 	1 , 	204 ,0.49, 	1 , 	148 ,0.68
38,07,Central Rivers AEA,0540,BCLUW Comm School District, 	44 , 	48 ,91.67, 	39 , 	39 ,100.00, 	5 , 	271 ,1.85, 	5 , 	186 ,2.69
87,13,Green Hills AEA,0549,Bedford Comm School District, 	26 , 	26 ,100.00, 	30 , 	30 ,100.00, 	2 , 	192 ,1.04, 	2 , 	131 ,1.53
06,10,Grant Wood AEA,0576,Belle Plaine Comm School District, 	32 , 	38 ,84.21, 	40 , 	41 ,97.56, 	5 , 	196 ,2.55, 	5 , 	137 ,3.65
49,09,Mississippi Bend AEA,0585,Bellevue Comm School District, 	48 , 	52 ,92.31, 	52 , 	56 ,92.86, 	4 , 	319 ,1.25, 	4 , 	214 ,1.87
