accepted_name,identified_name,identified_rank,difference.x,accepted_rank.x,max_ma,min_ma,family.x,genus.x,lng,lat,primary_reference.x,taxon_name,difference.y,accepted_rank.y,is_extant,family.y,genus.y,primary_reference.y
Paromomys maturus,Paromomys maturus,species,NA,species,NA,NA,Paromomyidae,Paromomys,NA,NA,"C. L. Gazin. 1968. A new primate from the Torrejon middle Paleocene of the San Juan Basin, New Mexico. Proceedings of the Biological Society of Washington 81:629-634",Paromomys maturus,NA,species,extinct,Paromomyidae,Paromomys,J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.
Pelycodus jarrovii,Pelycodus jarrovii,species,NA,species,NA,NA,Adapidae,Pelycodus,NA,NA,"P. D. Gingerich and R. A. Haskin. 1981. Dentition of Early Eocene Pelycodus jarrovii (Mammalia, Primates) and the Generic Attribution of Species Formerly Referred to Pelycodus. Contributions from the Museum of Paleontology, University of Michigan 25(17):327-337",Pelycodus jarrovii,NA,species,extinct,Adapidae,Pelycodus,H. F. Osborn. 1902. The four phyla of Oligocene titanotheres. Bulletin of the American Museum of Natural History 16(8):91-109
Perodicticus potto,Perodicticus potto,species,NA,species,NA,NA,Lorisidae,Perodicticus,NA,NA,I. T. Sanderson. 1940. The Mammals of the North Cameroons Forest Area. Being the Results of the Percy Sladen Expedition to the Mamfe Division of the British Cameroons. Transactions of the Zoological Society of London 24(7):623-725,Potto bosmanii,subjective synonym of,species,extant,Lorisidae,Perodicticus,"C. Smeenk, L. R. Godfrey, and F. L. Williams. 2006. The early specimens of the potto Perodicticus potto (Statius Müller, 1776) in the National Museum of Natural History, Leiden, with the selection of a neotype. Zoologische Medelingen 80:139-164"
Phenacolemur praecox,Phenacolemur praecox,species,NA,species,NA,NA,Paromomyidae,Phenacolemur,NA,NA,J. Alroy. 2000. New methods for quantifying macroevolutionary patterns and processes. Paleobiology 26(4):707-733,Phenacolemur praecox,NA,species,extinct,Paromomyidae,Phenacolemur,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483"
Phenacolemur simonsi,Phenacolemur simonsi,species,NA,species,NA,NA,Paromomyidae,Phenacolemur,NA,NA,T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26,Phenacolemur simonsi,NA,species,extinct,Paromomyidae,Phenacolemur,T. M. Bown and K. D. Rose. 1976. New Early Tertiary Primates and a Reappraisal of some Plesiadapiformes. Folia Primatologica 26
Picrodus silberlingi,Picrodus silberlingi,species,NA,species,NA,NA,Picrodontidae,Picrodus,NA,NA,"G. G. Simpson. 1937. The Fort Union of the Crazy Mountain field, Montana and its mammalian faunas. Bulletin of the United States National Museum 169:1-287",Megopterna minuta,subjective synonym of,species,extinct,Picrodontidae,Picrodus,E. Douglass. 1908. Vertebrate fossils from the Fort Union beds. Annals of Carnegie Museum 5(2):11-26
Piliocolobus badius,Piliocolobus badius,species,NA,species,NA,NA,Cercopithecidae,Piliocolobus,NA,NA,D. F. Su and N. G. Jablonski. 2009. Locomotor behavior and skeletal morphology of the odd-nosed monkeys. Folia Primatologica 80:189-219,Simia ferruginea,subjective synonym of,species,extant,Cercopithecidae,Piliocolobus,"J. A. Allen. 1895. On the names of mammals given by Kerr in his 'Animal kingdom,' published in 1792. Bulletin of the American Museum of Natural History 7(5):179-192"
Pithecia monachus,Pithecia monachus,species,NA,species,NA,NA,Pitheciidae,Pithecia,NA,NA,St. G. Mivart. 1867. On the Appendicular Skeleton of Primates. Philosophical Transactions of the Royal Society of London 157:299-429,Pithecia monachus,NA,species,extant,Pitheciidae,Pithecia,A. A. Barnett. 2005. Cacajao melanocephalus. Mammalian Species 776:1-6
Plecturocebus cupreus,Callicebus cupreus,species,recombined as,species,NA,NA,Pitheciidae,Plecturocebus,NA,NA,R. S. Voss and D. W. Fleck. 2011. Mammalian diversity and Matses ethnomammalogy in Amazonian Peru. Part 1: Primates. Bulletin of the American Museum of Natural History 351:1-81,Plecturocebus cupreus,NA,species,extant,Pitheciidae,Plecturocebus,"H. Byrne, A. B. Rylands, and J. C. Carneiro, J. W. Alfaro, F. Bertuol, M. N. F. da Silva, M. Messias, C. P. Groves, R. A. Mittermeier . 2016. Phylogenetic relationships of the New World titi monkeys (Callicebus): first appraisal of taxonomy based on molecular evidence. Frontiers in Zoology 13(10)"
Plesiadapis churchilli,Plesiadapis churchilli,species,NA,species,NA,NA,Plesiadapidae,Plesiadapis,NA,NA,"G. F. Winterfeld. 1982. Mammalian paleontology of the Fort Union Formation (Paleocene), eastern Rock Springs Uplift, Sweetwater County, Wyoming. Contributions to Geology, University of Wyoming 21(1):73-112",Plesiadapis churchilli,NA,species,extinct,Plesiadapidae,Plesiadapis,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
