accepted_name,orig_no,taxon_no,taxon_name,difference,accepted_no,accepted_rank,parent_no,ref_pubyr,reference_no,is_extant,n_occs,family,genus,primary_reference
Arapahovius advena,44206,44206,Arapahovius advena,,44206,species,40799,1991,1124,extinct,1,Omomyidae,Arapahovius,"T. M. Bown and K. D. Rose. 1991. Evolutionary relationships of a new genus and three new species of Omomyid primates (Willwood Formation, Lower Eocene, Bighorn Basin, Wyoming). Journal of Human Evolution 20(6):465-480"
Tatmanius szalayi,52082,52082,Tatmanius szalayi,,52082,species,52081,1991,1124,extinct,1,Omomyidae,Tatmanius,"T. M. Bown and K. D. Rose. 1991. Evolutionary relationships of a new genus and three new species of Omomyid primates (Willwood Formation, Lower Eocene, Bighorn Basin, Wyoming). Journal of Human Evolution 20(6):465-480"
Anaptomorphus aemulus,44020,44020,Anaptomorphus aemulus,,44020,species,40797,1872,53192,extinct,9,Omomyidae,Anaptomorphus,E. D. Cope. 1872. On a new vertebrate genus from the northern part of the Tertiary basin of Green River. Proceedings of the American Philosophical Society (separate)
Anaptomorphus aemulus,44027,44027,Anaptomorphus wortmani,subjective synonym of,44020,species,40797,1958,1613,extinct,9,Omomyidae,Anaptomorphus,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
Anaptomorphus westi,44026,44026,Anaptomorphus westi,,44026,species,40797,1976,3353,extinct,14,Omomyidae,Anaptomorphus,"F. S. Szalay. 1976. Systematics of the Omomyidae (Tarsiiformes, Primates) : taxonomy, phylogeny, and adaptations. Bulletin of the American Museum of Natural History 156(3)"
Trogolemur amplior,52520,52520,Trogolemur amplior,,52520,species,40831,1992,1049,extinct,4,Omomyidae,Trogolemur,"K. C. Beard, L. Kristalka, and R. K. Stucky. 1992. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 12. New species of omomyid primates (Mammalia: Primates: Omomyidae)\r\nand omomyid taxonomic composition across the early-middle\r\nEocene boundary. Annals of Carnegie Museum 61(1):39-62"
Trogolemur myodes,52522,52522,Trogolemur myodes,,52522,species,40831,1909,7017,extinct,17,Omomyidae,Trogolemur,"W. D. Matthew. 1909. The Carnivora and Insectivora of the Bridger Basin, middle Eocene. Memoirs of the American Museum of Natural History 9:289-567"
Trogolemur fragilis,52521,52521,Trogolemur fragilis,,52521,species,40831,1992,1049,extinct,1,Omomyidae,Trogolemur,"K. C. Beard, L. Kristalka, and R. K. Stucky. 1992. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 12. New species of omomyid primates (Mammalia: Primates: Omomyidae)\r\nand omomyid taxonomic composition across the early-middle\r\nEocene boundary. Annals of Carnegie Museum 61(1):39-62"
Tetonius homunculus,44023,52190,Tetonius homunculus,,44023,species,40830,1915,2471,extinct,0,Omomyidae,Tetonius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483"
Tetonius matthewi,52191,52191,Tetonius matthewi,,52191,species,40830,1987,1123,extinct,55,Omomyidae,Tetonius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Tetonius,49952,49952,Paratetonius steini,nomen dubium,40830,genus,40830,1958,1613,extinct,0,Omomyidae,Tetonius,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
Pseudotetonius ambiguus,52188,51217,Pseudotetonius ambiguus,,52188,species,40830,1915,2471,extinct,12,Omomyidae,Tetonius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483"
Pseudotetonius ambiguus,47953,47953,Mckennamorphus despairensis,subjective synonym of,52188,species,40830,1976,3353,extinct,12,Omomyidae,Tetonius,"F. S. Szalay. 1976. Systematics of the Omomyidae (Tarsiiformes, Primates) : taxonomy, phylogeny, and adaptations. Bulletin of the American Museum of Natural History 156(3)"
Tetonius mckennai,52192,52192,Tetonius mckennai,,52192,species,40830,1987,1123,extinct,3,Omomyidae,Tetonius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Absarokius abbotti,44019,43687,Absarokius abbotti,,44019,species,40794,1915,2471,extinct,41,Omomyidae,Absarokius,"W. D. Matthew. 1915. A revision of the Lower Eocene Wasatch and Wind River faunas. \r\nPart IV. - Entelonychia, Primates, Insectivora (part). Bulletin of the American Museum of Natural History 34(14):429-483"
Absarokius abbotti,43693,43693,Absarokius noctivagus,subjective synonym of,44019,species,40794,1987,1123,extinct,41,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Absarokius metoecus,43691,43691,Absarokius metoecus,,43691,species,40794,1987,1123,extinct,32,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Absarokius gazini,43689,43689,Absarokius gazini,,43689,species,40794,1987,1123,extinct,3,Omomyidae,Absarokius,"T. M. Bown and K. D. Rose. 1987. Patterns of Dental Evolution in Early Eocene Anaptomorphine Primates (Omomyidae) from the Bighorn Basin, Wyoming. Paleontological Society Memoir 23:1-162"
Anemorhysis,52564,52564,Uintalacus nettingi,nomen dubium,40798,genus,40798,1958,1613,extinct,0,Omomyidae,Anemorhysis,C. L. Gazin. 1958. A review of the middle and upper Eocene primates of North America. Smithsonian Miscellaneous Collections 136(1):1-112
Tetonoides musculus,52193,52199,Tetonoides musculus,,52193,species,40798,1952,1606,extinct,0,Omomyidae,Anemorhysis,C. L. Gazin. 1952. The Lower Eocene Knight Formation Of Western Wyoming and Its Mammalian Faunas. Smithsonian Miscellaneous Collections 117(18):1-82
Tetonoides pearcei,52200,52200,Tetonoides pearcei,,52200,species,40798,1962,1616,extinct,7,Omomyidae,Anemorhysis,C. L. Gazin. 1962. A Further Study Of The Lower Eocene Mammalian Faunas Of Southwestern Wyoming. Smithsonian Miscellaneous Collections 144(1):1-98
Anemorhysis savagei,384933,384933,Anemorhysis savagei,,384933,species,40798,1994,68622,extinct,1,Omomyidae,Anemorhysis,"B.A. Williams and H.H. Covert. 1994. New Early Eocene Anaptomorphine Primate (Omomyidae) From the Washakie Basin, Wyoming, With Comments on the Phylogeny and Paleobiology of Anaptomorphines\r\n. American Journal of Physical Anthropology 93:323-340"
Anemorhysis wortmani,44091,44091,Anemorhysis wortmani,,44091,species,40798,1984,1122,extinct,4,Omomyidae,Anemorhysis,"T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
Anemorhysis sublettensis,49953,44089,Anemorhysis sublettensis,,49953,species,40798,1952,1606,extinct,1,Omomyidae,Anemorhysis,C. L. Gazin. 1952. The Lower Eocene Knight Formation Of Western Wyoming and Its Mammalian Faunas. Smithsonian Miscellaneous Collections 117(18):1-82
Anemorhysis pattersoni,44087,44087,Anemorhysis pattersoni,,44087,species,40798,1984,1122,extinct,2,Omomyidae,Anemorhysis,"T. M. Bown and K. D. Rose. 1984. Reassessment of Some Early Eocene Omomyidae, with Description of a New Genus and Three New Species. Folia Primatologica 43"
Anemorhysis natronensis,44086,44086,Anemorhysis natronensis,,44086,species,40798,1992,1049,extinct,1,Omomyidae,Anemorhysis,"K. C. Beard, L. Kristalka, and R. K. Stucky. 1992. Revision of the Wind River faunas, early Eocene of central Wyoming. Part 12. New species of omomyid primates (Mammalia: Primates: Omomyidae)\r\nand omomyid taxonomic composition across the early-middle\r\nEocene boundary. Annals of Carnegie Museum 61(1):39-62"
Paraloris bavaricus,93592,93592,Paraloris bavaricus,,93592,species,93591,1995,19773,extinct,1,Omomyidae,Paraloris,"V. Fahlbusch. 1995. Ein neuer Primate (Mammalia, Omomyidae) aus dem marinen Ober-Eozän des inneralpinen Tertiärs von Oberaudorf nördlich Kufstein. Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen 198(1/2):15-26"
Nannopithex zuccolae,101081,101081,Nannopithex zuccolae,,101081,species,40817,2007,24414,extinct,5,Omomyidae,Nannopithex,"J. J. Hooker. 2007. A new microchoerine omomyid (Primates, Mammalia) from the English Early Eocene and its palaeobiogeographical implications. Palaeontology 50(3):739-756"
Nannopithex humilidens,385352,385352,Nannopithex humilidens,,385352,species,40817,2002,19527,extinct,0,Omomyidae,Nannopithex,"G. F. Gunnell and K. D. Rose. 2002. Tarsiiformes: Evolutionary history and adaptation. The Primate Fossil Record, W.C. Hartwig (ed.), Cambridge University Press."
