accepted_name,max_ma,min_ma,lng,lat,state,county,genus
Stirtonia_tatacoensis,13.8,11.8,-75.199997,3.2,Huila,NA,Stirtonia_tatacoensis
Micodon_kiotensis,13.8,11.8,-75.199997,3.2,Huila,NA,Micodon_kiotensis
Stirtonia_victoriae,13.8,11.8,-75.916664,2.116667,Huila,NA,Stirtonia_victoriae
Lagonimico_conclucatus,13.8,11.8,-74.577782,3.660278,Huila,NA,Lagonimico_conclucatus
Nuciruptor_rubricae,13.8,11.8,-75.133331,3.316667,Huila,NA,Nuciruptor_rubricae
Saimiri,17.5,16.3,-71.366669,-12.866667,Cusco,NA,Saimiri
Patasola_magdalenae,13.8,11.8,-75.133331,3.3,NA,NA,Patasola_magdalenae
Neosaimiri_fieldsi,13.8,11.8,-75.1875,3.258333,Huila,NA,Neosaimiri_fieldsi
Nuciruptor,13.8,11.8,-75.133331,3.3,NA,NA,Nuciruptor
Neosaimiri_annectens,13.8,11.8,-75.183334,3.233333,NA,NA,Neosaimiri_annectens
Miocallicebus_villaviejai,13.8,11.8,-75.194443,3.281389,Huila,NA,Miocallicebus_villaviejai
