county,county_name,district,district_name,k12_enrollment,reduced,free,total_reduced_free,percent_reduced_free,year
15,Cass,914,CAM Comm School District,1415,,,598,42.26,2022
35,Franklin,916,CAL Comm School District,140,,,86,61.43,2022
23,Clinton,918,Calamus-Wheatland Comm School District,400,,,143,35.75,2022
23,Clinton,936,Camanche Comm School District,937,,,366,39.06,2022
90,Wapello,977,Cardinal Comm School District,947,,,490,51.74,2022
91,Warren,981,Carlisle Comm School District,2242,,,689,30.73,2022
14,Carroll,999,Carroll Comm School District,1626,,,607,37.33,2022
7,Black Hawk,1044,Cedar Falls Comm School District,5688,,,1549,27.23,2022
57,Linn,1053,Cedar Rapids Comm School District,14689,,,8105,55.18,2022
57,Linn,1062,Center Point-Urbana Comm School District,1393,,,235,16.87,2022
4,Appanoose,1071,Centerville Comm School District,1278,,,615,48.12,2022
56,Lee,1079,Central Lee Comm School District,1187,,,450,37.91,2022
22,Clayton,1080,Central Comm School District,431,,,178,41.3,2022
23,Clinton,1082,Central DeWitt School District,1509,,,477,31.61,2022
57,Linn,1089,Central City Comm School District,413,,,132,31.96,2022
27,Decatur,1093,Central Decatur Comm School District,646,,,437,67.65,2022
60,Lyon,1095,Central Lyon Comm School District,747,,,203,27.18,2022
59,Lucas,1107,Chariton Comm School District,1215,,,654,53.83,2022
34,Floyd,1116,Charles City Comm School District,1459,,,795,54.49,2022
24,Crawford,1134,Charter Oak-Ute Comm School District,166,,,99,59.64,2022
18,Cherokee,1152,Cherokee Comm School District,1144,,,467,40.82,2022
73,Page,1197,Clarinda Comm School District,1028,,,421,40.95,2022
99,Wright,1206,Clarion-Goldfield-Dows Comm School District,978,,,569,58.18,2022
20,Clarke,1211,Clarke Comm School District,1281,,,746,58.24,2022
12,Butler,1215,Clarksville Comm School District,282,,,97,34.4,2022
21,Clay,1218,Clay Central-Everly Comm School District,60,,,43,71.67,2022
52,Johnson,1221,Clear Creek Amana Comm School District,2874,,,751,26.13,2022
17,Cerro Gordo,1233,Clear Lake Comm School District,1402,,,438,31.24,2022
23,Clinton,1278,Clinton Comm School District,3212,,,1829,56.94,2022
50,Jasper,1332,Colfax-Mingo Comm School District,658,,,266,40.43,2022
57,Linn,1337,College Comm School District,5462,,,1941,35.54,2022
85,Story,1350,Collins-Maxwell Comm School District,394,,,157,39.85,2022
85,Story,1359,Colo-NESCO  Comm School District,349,,,137,39.26,2022
58,Louisa,1368,Columbus Comm School District,619,,,405,65.43,2022
14,Carroll,1413,Coon Rapids-Bayard Comm School District,402,,,194,48.26,2022
2,Adams,1431,Corning Comm School District,396,,,172,43.43,2022
78,Pottawattamie,1476,Council Bluffs Comm School District,8265,,,5089,61.57,2022
88,Union,1503,Creston Comm School District,1330,,,697,52.41,2022
25,Dallas,1576,Dallas Center-Grimes Comm School District,3521,,,621,17.64,2022
29,Des Moines,1602,Danville  Comm School District,626,,,227,36.26,2022
