"county_name","year","import_ratio"
"Plymouth",2021,3.27588813303099
"Plymouth",2022,3.04721634954193
"Pocahontas",2009,2.36729222520107
"Pocahontas",2010,2.25065274151436
"Pocahontas",2011,2.19836956521739
"Pocahontas",2012,2.15527950310559
"Pocahontas",2019,1.85321100917431
"Pocahontas",2020,1.73101952277657
"Pocahontas",2021,1.98514851485149
"Pocahontas",2022,1.72093023255814
"Polk",2009,0
"Polk",2010,0
"Polk",2011,0
"Polk",2012,0
"Polk",2019,2.09191662990737
"Polk",2020,2.17834189288335
"Polk",2021,2.12068818184408
"Polk",2022,2.08628844915895
"Pottawattamie",2009,0.48559134176555
"Pottawattamie",2010,0.481539465101109
"Pottawattamie",2011,0.443564115065822
"Pottawattamie",2012,0.467661051819468
"Pottawattamie",2019,1.94084579021336
"Pottawattamie",2020,1.85180124223602
"Pottawattamie",2021,1.88055908513342
"Pottawattamie",2022,2.07458100558659
"Poweshiek",2009,1.18201284796574
"Poweshiek",2010,1.07624633431085
"Poweshiek",2011,1.01449275362319
"Poweshiek",2012,1.08308605341246
"Poweshiek",2019,2.69018404907975
"Poweshiek",2020,2.96608187134503
"Poweshiek",2021,2.96702002355713
"Poweshiek",2022,2.99754901960784
"Ringgold",2009,2.38253012048193
"Ringgold",2010,2.22448979591837
"Ringgold",2011,2.22571428571429
"Ringgold",2012,2.05989583333333
"Ringgold",2019,1.99445983379501
"Ringgold",2020,1.84
"Ringgold",2021,2.56521739130435
"Ringgold",2022,2.1702786377709
"Sac",2009,2.6676970633694
"Sac",2010,2.50892857142857
"Sac",2011,2.39687055476529
"Sac",2012,0.969738651994498
"Sac",2019,2
"Sac",2020,1.91739894551845
"Sac",2021,2.23170731707317
"Sac",2022,2.25413223140496
"Scott",2009,0
"Scott",2010,0
"Scott",2011,0
"Scott",2012,0
