Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/taxa/list_doc.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data URL,"http://paleobiodb.org/data1.2/taxa/list.csv?datainfo&rowcount&base_name=primates&rank=species&show=class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Time,Fri 2023-03-03 21:19:12 GMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,base_name,primates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rank,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,show,"class,ecospace,pres,ref,refattr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elapsed Time,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Found,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records Returned,1479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orig_no,taxon_no,record_type,flags,taxon_rank,taxon_name,difference,accepted_no,accepted_rank,accepted_name,parent_no,ref_author,ref_pubyr,reference_no,is_extant,n_occs,phylum,class,order,family,genus,type_taxon,taxon_environment,environment_basis,motility,life_habit,vision,diet,reproduction,ontogeny,ecospace_comments,primary_reference
232730,232730,txn,,species,Perodicticus geoffroyi,subjective synonym of,232728,species,Perodicticus potto,143090,Smeenk et al.,2006,41276,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. Smeenk, L. R. Godfrey, and F. L. Williams. 2006. The early specimens of the potto Perodicticus potto (Statius Müller, 1776) in the National Museum of Natural History, Leiden, with the selection of a neotype. Zoologische Medelingen 80:139-164"
232733,232733,txn,,species,Potto bosmanii,subjective synonym of,232728,species,Perodicticus potto,143090,Smeenk et al.,2006,41276,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. Smeenk, L. R. Godfrey, and F. L. Williams. 2006. The early specimens of the potto Perodicticus potto (Statius Müller, 1776) in the National Museum of Natural History, Leiden, with the selection of a neotype. Zoologische Medelingen 80:139-164"
232731,232731,txn,,species,Galago guineensis,subjective synonym of,232728,species,Perodicticus potto,143090,Smeenk et al.,2006,41276,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. Smeenk, L. R. Godfrey, and F. L. Williams. 2006. The early specimens of the potto Perodicticus potto (Statius Müller, 1776) in the National Museum of Natural History, Leiden, with the selection of a neotype. Zoologische Medelingen 80:139-164"
390408,390408,txn,,species,Perodicticus ibeanus,,390408,species,Perodicticus ibeanus,143090,Thomas,1910,69596,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"O. Thomas. 1910. Three new West African Mammals. The Annals and magazine of natural history; zoology, botany, and geology\r\n 5(25-30):351-354"
390409,390409,txn,,species,Perodicticus edwardsi,,390409,species,Perodicticus edwardsi,143090,Burgin et al.,2018,68855,extant,0,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. J. Burgin, J. P. Colella, and P. L. Kahn, N. S. Upham. 2018. How many species of mammals are there?. Journal of Mammalogy 99(1):1-14"
430627,430627,txn,,species,Pseudopotto martini,,430627,species,Pseudopotto martini,430625,Schwartz,1996,74822,extant,0,Chordata,Mammalia,Primates,Lorisidae,Pseudopotto,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,J. H. Schwartz. 1996. Pseudopotto martini: a new genus and species of extant lorisiform primate. Anthropological Papers of the American Museum of Natural History 78:1-14
345102,345102,txn,,species,Namaloris rupestris,,345102,species,Namaloris rupestris,345101,Pickford,2015,59816,extinct,1,Chordata,Mammalia,Primates,Lorisidae,Namaloris,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"M. Pickford. 2015. Late Eocene Lorisiform Primate from Eocliff, Sperrgebiet, Namibia. Communications of the Geological Survey of Namibia 16:194-199"
385680,385680,txn,,species,Loris lori,,385680,species,Loris lori,103123,Cabera,1908,68799,extant,0,Chordata,Mammalia,Primates,Lorisidae,Loris,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"A. Cabera. 1908. Sobre los loris, y en especial sobre la forma filipina. Boletín de la Sociedad Española de Historia Natural"
385681,385682,txn,,species,Loris lydekkerianus,,385681,species,Loris lydekkerianus,103123,Cabera,1908,68799,extant,0,Chordata,Mammalia,Primates,Lorisidae,Loris,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"A. Cabera. 1908. Sobre los loris, y en especial sobre la forma filipina. Boletín de la Sociedad Española de Historia Natural"
104137,206247,txn,,species,Loris tardigradus,,104137,species,Loris tardigradus,103123,Linnaeus,1758,12782,extant,0,Chordata,Mammalia,Primates,Lorisidae,Loris,,terrestrial,,actively mobile,,,"insectivore, frugivore",viviparous,,,"C. Linnaeus. 1758. Systema Naturae per Regna Tria Naturae, Secundum Classes, Ordines, Genera, Species, cum Characteribus, Differentiis, Synonymis, Locis. Editio Decima 1:1-824"
