identified_name,identified_rank,difference,accepted_name,accepted_rank,max_ma,min_ma,family,genus,lng,lat,primary_reference
Tinimomys loomisi,species,subjective synonym of,Tinimomys graybulliensis,species,55.8,50.3,Micromomyidae,Tinimomys,-106.599998,44,"P. Robinson. 1994. Myrmekomomys, a new genus of Micromomyine (Mammalia, ?Microsyopidae) from the lower Eocene rocks of the Powder River Basin, Wyoming. Contributions to Geology, University of Wyoming 30(1):85-90"
Nannodectes gazini,species,NA,Nannodectes gazini,species,61.7,56.8,Plesiadapidae,Nannodectes,-108.1754,42.2869,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Nannodectes gidleyi,species,NA,Nannodectes gidleyi,species,63.3,61.7,Plesiadapidae,Nannodectes,-103.199997,29.200001,"J. A. Schiebout. 1974. Vertebrate paleontology and paleoecology of Paleocene Black Peaks Formation, Big Bend National Park, Texas. Texas Memorial Museum Bulletin 24:1-88"
Nannodectes gidleyi,species,NA,Nannodectes gidleyi,species,61.7,56.8,Plesiadapidae,Nannodectes,-107.633331,37.116669,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Nannodectes intermedius,species,NA,Nannodectes intermedius,species,61.7,56.8,Plesiadapidae,Nannodectes,-109.159103,43.453602,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Nannodectes intermedius,species,NA,Nannodectes intermedius,species,61.7,56.8,Plesiadapidae,Nannodectes,-110.5,45.799999,"P. D. Gingerich, P. Houde, and D. W. Krause. 1983. A New Earliest Tiffanian (Late Paleocene) Mammalian Fauna from Bangtail Plateau, Western Crazy Mountain Basin, Montana. Journal of Paleontology 57(5)"
Nannodectes intermedius,species,NA,Nannodectes intermedius,species,61.7,56.8,Plesiadapidae,Nannodectes,-109.800003,45.799999,"D. W. Krause and P. D. Gingerich. 1983. Mammalian Fauna from Douglass Quarry, Earliest Tiffanian (Late Paleocene) of the Eastern Crazy Mountain Basin, Montana. Contributions from the Museum of Paleontology, University of Michigan 26(9):157-196"
Pronothodectes simpsoni,species,recombined as,Nannodectes simpsoni,species,61.7,56.8,Plesiadapidae,Nannodectes,-108.199997,43.200001,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Navajovius kohlhaasae,species,NA,Navajovius kohlhaasae,species,63.3,61.7,Microsyopidae,Navajovius,-103.153862,29.462648,"J. A. Schiebout. 1974. Vertebrate paleontology and paleoecology of Paleocene Black Peaks Formation, Big Bend National Park, Texas. Texas Memorial Museum Bulletin 24:1-88"
Navajovius kohlhaasae,species,NA,Navajovius kohlhaasae,species,63.3,61.7,Microsyopidae,Navajovius,-103.199997,29.200001,"J. A. Schiebout. 1974. Vertebrate paleontology and paleoecology of Paleocene Black Peaks Formation, Big Bend National Park, Texas. Texas Memorial Museum Bulletin 24:1-88"
Notharctus robinsoni,species,NA,Notharctus robinsoni,species,50.3,46.2,Notharctidae,Notharctus,-110.325279,41.769169,"P. D. Gingerich. 1979. Phylogeny of middle Eocene Adapidae (Mammalia, Primates) in North America: Smilodectes and Notharctus. Journal of Paleontology 53(1):153-163"
Palaechthon problematicus,species,recombined as,Plesiolestes problematicus,species,63.3,61.7,Palaechthonidae,Plesiolestes,-107.735703,41.301399,"J. K. Rigby, Jr. 1980. Swain Quarry of the Fort Union Formation, Middle Paleocene (Torrejonian), Carbon County, Wyoming: geologic setting and mammalian fauna. Evolutionary Monographs 3:1-178"
Plesiolestes problematicus,species,NA,Plesiolestes problematicus,species,61.7,56.8,Palaechthonidae,Plesiolestes,-110.5,45.799999,"P. D. Gingerich, P. Houde, and D. W. Krause. 1983. A New Earliest Tiffanian (Late Paleocene) Mammalian Fauna from Bangtail Plateau, Western Crazy Mountain Basin, Montana. Journal of Paleontology 57(5)"
Palenochtha minor,species,NA,Palenochtha minor,species,63.3,61.7,Palaechthonidae,Palenochtha,-108.349998,43.849998,"J. E. Hartman. 1986. Paleontology and biostratigraphy of lower part of Polecat Bench Formation, southern Bighorn Basin, Wyoming. Contributions to Geology, University of Wyoming 24(1):11-63"
Palenochtha weissae,species,NA,Palenochtha weissae,species,63.3,61.7,Palaechthonidae,Palenochtha,-107.735703,41.301399,"J. K. Rigby, Jr. 1980. Swain Quarry of the Fort Union Formation, Middle Paleocene (Torrejonian), Carbon County, Wyoming: geologic setting and mammalian fauna. Evolutionary Monographs 3:1-178"
Pandemonium dis,species,NA,Pandemonium dis,species,66,63.3,NO_FAMILY_SPECIFIED,Pandemonium,-106.099998,47.799999,L. M. Van Valen. 1994. The origin of the plesiadapid primates and the nature of Purgatorius. Evolutionary Monographs 15:1-79
Paromomys maturus,species,NA,Paromomys maturus,species,63.3,61.7,Paromomyidae,Paromomys,-104.800003,47.099998,"J. P. Hunter. 1997. Mammals and mollusks across the Cretaceous-Tertiary boundary from Makoshika State Park and vicinity (Williston Basin), Montana. Contributions to Geology, University of Wyoming 32(1):61-114"
Cantius mckennai,species,NA,Cantius mckennai,species,55.8,50.3,Notharctidae,Cantius,-109.083336,44.766666,"P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
Cantius ralstoni,species,NA,Cantius ralstoni,species,55.8,50.3,Notharctidae,Cantius,-109,44.299999,"P. D. Gingerich and E. L. Simons. 1977. Systematics, phylogeny, and evolution of early Eocene Adapidae (Mammalia, Primates) in North America. Contributions from the Museum of Paleontology, University of Michigan 24(22):245-279"
Ignacius frugivorus,species,NA,Ignacius frugivorus,species,61.7,56.8,Paromomyidae,Ignacius,-107.633331,37.116669,"G. G. Simpson. 1935. The Tiffany fauna, Upper Paleocene. 3, Primates, Carnivora, Condylarthra, and Amblypoda. American Museum Novitates 817"
Ignacius frugivorus,species,NA,Ignacius frugivorus,species,61.7,56.8,Paromomyidae,Ignacius,-107.099998,43.200001,"L. Krishtalka, C. C. Black, and D. W. Riedel. 1975. Paleontology and geology of the Badwater Creek area, central Wyoming. Pt.\r\n10. A late Paleocene mammal fauna from the Shotgun Member of the Fort Union Formation. Annals of Carnegie Museum 45(9):179-212"
Dillerlemur pagei,species,NA,Dillerlemur pagei,species,56.8,55.8,Paromomyidae,Dillerlemur,-109,44.299999,K. D. Rose. 1981. The Clarkforkian Land-Mammal Age and Mammalian Faunal Composition Across the Paleocene-Eocene Boundary. University of Michigan Papers on Paleontology 26:1-197
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-109.159103,43.453602,P. O. McGrew and B. Patterson. 1962. A new picrodontid insectivore(?) from the Paleocene of Wyoming. Breviora 175:1-9
Picrodus canpacius,species,NA,Picrodus canpacius,species,61.7,56.8,Picrodontidae,Picrodus,-110.5,45.799999,"P. D. Gingerich, P. Houde, and D. W. Krause. 1983. A New Earliest Tiffanian (Late Paleocene) Mammalian Fauna from Bangtail Plateau, Western Crazy Mountain Basin, Montana. Journal of Paleontology 57(5)"
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-108.349998,43.849998,"J. E. Hartman. 1986. Paleontology and biostratigraphy of lower part of Polecat Bench Formation, southern Bighorn Basin, Wyoming. Contributions to Geology, University of Wyoming 24(1):11-63"
Picrodus calgariensis,species,NA,Picrodus calgariensis,species,63.3,61.7,Picrodontidae,Picrodus,-114.099998,51,"C. S. Scott. 2003. Late Torrejonian (middle Paleocene) mammals from south central Alberta, Canada. Journal of Paleontology 77(4):745-768"
Picromomys petersonorum,species,NA,Picromomys petersonorum,species,55.8,50.3,Picromomyidae,Picromomys,-108,44.5,"K. D. Rose and T. M. Bown. 1996. A new plesiadapiform (Mammalia: Plesiadapiformes) from the early Eocene of the Bighorn Basin, Wyoming. Annals of Carnegie Museum 65(3):305-321"
Plesiadapis anceps,species,NA,Plesiadapis anceps,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109.800003,45.799999,G. G. Simpson. 1936. A new fauna from the Fort Union of Montana. American Museum Novitates 873
Plesiadapis jepseni,species,subjective synonym of,Plesiadapis anceps,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.1754,42.2869,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis churchilli,species,NA,Plesiadapis churchilli,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109,45.200001,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis churchilli,species,NA,Plesiadapis churchilli,species,61.7,56.8,Plesiadapidae,Plesiadapis,-107.099998,43.200001,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis churchilli,species,NA,Plesiadapis churchilli,species,61.7,56.8,Plesiadapidae,Plesiadapis,-102.748001,49.063999,D. W. Krause. 1978. Paleocene primates from western Canada. Canadian Journal of Earth Sciences 15
Plesiadapis cookei,species,NA,Plesiadapis cookei,species,56.8,55.8,Plesiadapidae,Plesiadapis,-109,44.299999,K. D. Rose. 1981. The Clarkforkian Land-Mammal Age and Mammalian Faunal Composition Across the Paleocene-Eocene Boundary. University of Michigan Papers on Paleontology 26:1-197
Plesiadapis dubius,species,NA,Plesiadapis dubius,species,56.8,55.8,Plesiadapidae,Plesiadapis,-109,44.299999,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis dubius,species,NA,Plesiadapis dubius,species,56.8,55.8,Plesiadapidae,Plesiadapis,-110.334503,41.268299,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.934402,44.907501,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis fodinatus,species,NA,Plesiadapis fodinatus,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.914001,44.907501,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis praecursor,species,NA,Plesiadapis praecursor,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109.800003,45.799999,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis praecursor,species,NA,Plesiadapis praecursor,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis praecursor,species,NA,Plesiadapis praecursor,species,61.7,56.8,Plesiadapidae,Plesiadapis,-109.800003,45.799999,"P. D. Gingerich. 1976. Cranial Anatomy and Evolution of Early Tertiary Plesiadapidae (Mammalia, Primates). University of Michigan Papers on Paleontology 15:1-141"
Plesiadapis rex,species,NA,Plesiadapis rex,species,61.7,56.8,Plesiadapidae,Plesiadapis,-108.376747,44.723801,"P. D. Gingerich. 1975. New North American Plesiadapidae (Mammalia, Primates) and a biostratigraphic zonation of the middle and upper Paleocene. Contributions from the Museum of Paleontology, University of Michigan 24(13):135-148"
Plesiadapis dubius,species,NA,Plesiadapis dubius,species,56.8,55.8,Plesiadapidae,Plesiadapis,-110.334503,41.268299,C. L. Gazin. 1942. Fossil Mammalia from the Almy Formation in western Wyoming. Journal of the Washington Academy of Sciences 32(7):217-220
