specimen_no,is_type,accepted_name,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
2187,,Microsyops angustidens,45481,55.8,50.3,1730,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
2188,,Microsyops angustidens,45481,,,1730,,,,,,,,,
2189,,Microsyops angustidens,45481,,,1730,,,,,,,,,
2190,,Microsyops angustidens,45481,,,1730,,,,,,,,,
2191,,Microsyops annectens,44474,50.3,46.2,1404,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,Carter Mountain
2192,,Microsyops annectens,44474,,,3605,,,,,,,,,
2193,,Microsyops annectens,44474,,,1730,,,,,,,,,
2194,,Microsyops annectens,44474,,,1730,,,,,,,,,
2195,holotype,Microsyops cardiorestes,48549,,,1730,,,,,,,,,
2196,,Microsyops elegans,47707,,,3596,,,,,,,,,
2197,,Microsyops elegans,47707,,,1115,,,,,,,,,
2198,,Microsyops elegans,47707,,,1730,,,,,,,,,
2199,,Microsyops elegans,47707,,,1730,,,,,,,,,
2200,,Microsyops elegans,47707,,,1737,,,,,,,,,
2201,,Microsyops elegans,47707,,,3806,,,,,,,,,
2202,holotype,Microsyops knightensis,45482,,,1730,,,,,,,,,
2203,,Microsyops knightensis,45482,,,1730,,,,,,,,,
2204,,Microsyops knightensis,45482,,,1730,,,,,,,,,
2205,holotype,Microsyops kratos,48553,,,1730,,,,,,,,,
2206,,Microsyops latidens,45483,,,1730,,,,,,,,,
2207,,Microsyops latidens,45483,,,1730,,,,,,,,,
2208,holotype,Microsyops latidens,45483,55.8,50.3,3348,-107,36.5,US,New Mexico,Rio Arriba,based on political unit,1,local area,"from at least nine localities that span an area of about 6 miles east-west and 11 miles north-south (Sullivan and Lucas 1988, Fig. 1)"
2209,,Microsyops scottianus,48557,,,1730,,,,,,,,,
2210,,Microsyops scottianus,48557,,,1749,,,,,,,,,
2211,holotype,Arctodontomys simplicidens,48558,,,8850,,,,,,,,,
2212,,Arctodontomys simplicidens,48558,56.8,55.8,2953,-109,44.299999,US,Wyoming,Park,based on political unit,1,small collection,
2213,holotype,Arctodontomys wilsoni,48565,,,3348,,,,,,,,,
2214,,Arctodontomys wilsoni,48565,,,3348,,,,,,,,,
2215,,Arctodontomys wilsoni,48565,55.8,50.3,3348,-108.099998,40.599998,US,Colorado,Moffat,based on political unit,1,small collection,
2388,holotype,Tinimomys graybulliensis,52321,55.8,50.3,2926,-106.599998,44,US,Wyoming,Johnson,based on political unit,1,small collection,"Powder River, Powder River Basin"
2389,,Tinimomys graybulliensis,52321,55.8,50.3,2926,-106.599998,44,US,Wyoming,Johnson,based on political unit,1,small collection,Powder River Basin
2398,holotype,Ourayia hopsoni,48936,,,2923,,,,,,,,,
2418,holotype,Nannodectes gazini,48972,61.7,56.8,1634,-108.1754,42.2869,US,Wyoming,Fremont,stated in text,4,,"E 1/2 sec 28 T27N R95 W, Bison Basin: Patterson and McGrew 1962"
2419,,Nannodectes gidleyi,49222,63.3,61.7,3024,-103.199997,29.200001,US,Texas,Brewster,based on political unit,1,small collection,western Tornillo Flat
2420,,Nannodectes gidleyi,49222,61.7,56.8,1634,-107.633331,37.116669,US,Colorado,La Plata,based on nearby landmark,minutes,small collection,"""on the Spring Creek drainage, seven miles southeast of Ignacio, near to the Mason schoolhouse... only a meter square"" (Matthew 1917) (coordinate based on Ignacio)"
2421,,Nannodectes gidleyi,49222,,,3716,,,,,,,,,
2422,,Nannodectes intermedius,50862,61.7,56.8,1634,-109.159103,43.453602,US,Wyoming,Fremont,stated in text,4,outcrop,"NE 1/4 SE 1/4 sec 31 T6N R3W, northern Wind River Basin: MacIntyre 1966"
2423,,Nannodectes intermedius,50862,61.7,56.8,1671,-110.5,45.799999,US,Montana,Park,based on political unit,1,,"Gallatin N. F., Crazy Mountain Basin"
2424,,Nannodectes intermedius,50862,61.7,56.8,2165,-109.800003,45.799999,US,Montana,Sweetgrass,based on political unit,1,small collection,Crazy Mountain Basin
2425,,Nannodectes simpsoni,50865,61.7,56.8,1634,-108.199997,43.200001,US,Wyoming,Fremont,based on political unit,1,,Bison Basin
